Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,13128,species,Nanday Parakeet,Aratinga nenday,20,The Celery Fields,US-FL,29 Mar 2026,L234146,S314486284,N,1
2,5533,species,Gray-headed Swamphen,Porphyrio poliocephalus,1,The Celery Fields,US-FL,29 Mar 2026,L234146,S314486284,N,1
3,6576,species,Lesser Black-backed Gull,Larus fuscus,1,Longboat Key--North Beach,US-FL,04 Jan 2026,L835878,S292357975,,1
4,8909,species,Snowy Owl,Bubo scandiacus,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,10 Dec 2025,L161180,S288074454,,1
6,5780,species,American Avocet,Recurvirostra americana,200,Bombay Hook National Wildlife Refuge,US-DE,23 Nov 2025,L126637,S285852118,,1
7,384,species,Tundra Swan,Cygnus columbianus,36,Bombay Hook National Wildlife Refuge,US-DE,23 Nov 2025,L126637,S285852118,,1
8,243,species,Black-bellied Whistling-Duck,Dendrocygna autumnalis,8,Wheatley's Pond,US-DE,23 Nov 2025,L13978187,S285754641,,1
9,26856,species,Goldcrest,Regulus regulus,1,Hyde Park  and  Kensington Gardens,GB-ENG,04 Nov 2025,L12106788,S282819477,,1
10,670,species,Common Pochard,Aythya ferina,3,Hyde Park  and  Kensington Gardens,GB-ENG,04 Nov 2025,L12106788,S282819477,,1
11,21575,species,Carrion Crow,Corvus corone,14,Stanley Park,GB-ENG,02 Nov 2025,L5484718,S282578275,,1
12,6545,species,European Herring Gull,Larus argentatus,3,Stanley Park,GB-ENG,02 Nov 2025,L5484718,S282578275,,1
13,5487,species,Eurasian Coot,Fulica atra,4,Stanley Park,GB-ENG,02 Nov 2025,L5484718,S282578275,,1
14,21339,species,Eurasian Jay,Garrulus glandarius,2,Windsor Promenade,GB-ENG,30 Oct 2025,L7684204,S282135847,,1
15,8342,species,Red Kite,Milvus milvus,2,Windsor Promenade,GB-ENG,30 Oct 2025,L7684204,S282135847,,1
16,417,species,Egyptian Goose,Alopochen aegyptiaca,2,Windsor Promenade,GB-ENG,30 Oct 2025,L7684204,S282135847,N,1
17,377,species,Mute Swan,Cygnus olor,4,Windsor Promenade,GB-ENG,30 Oct 2025,L7684204,S282135847,,1
18,287,species,Greater White-fronted Goose,Anser albifrons,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,16 Oct 2025,L161180,S279773311,,1
20,4102,species,Pallid Swift,Apus pallidus,,Sevilla--Catedral,ES-AN,29 Jun 2025,L5704353,S255399294,,1
21,7524,species,Eurasian Spoonbill,Platalea leucorodia,3,La Barca de Vejer,ES-AN,28 Jun 2025,L2748416,S255389238,,1
22,27044,species,Short-toed Treecreeper,Certhia brachydactyla,1,Barcelona--Castillo de Montjuïc,ES-CT,25 Jun 2025,L11117290,S253996267,,1
23,25267,species,Eurasian Blackcap,Sylvia atricapilla,2,Barcelona--Castillo de Montjuïc,ES-CT,25 Jun 2025,L11117290,S253996267,,1
24,2031,species,Eurasian Collared-Dove,Streptopelia decaocto,3,Barcelona--Castillo de Montjuïc,ES-CT,25 Jun 2025,L11117290,S253996267,,1
25,25351,species,Sardinian Warbler,Curruca melanocephala,1,Barcelona--Parc Güell,ES-CT,24 Jun 2025,L1930975,S253743714,,1
26,21996,species,Crested Tit,Lophophanes cristatus,1,Barcelona--Parc Güell,ES-CT,24 Jun 2025,L1930975,S253743714,,1
27,6500,species,Audouin's Gull,Ichthyaetus audouinii,1,Barcelona--Plaça de Catalunya,ES-CT,24 Jun 2025,L10402926,S253743636,,1
28,29253,species,European Robin,Erithacus rubecula,1,Madrid--Parque El Retiro,ES-MD,23 Jun 2025,L1139116,S253513881,,1
29,27826,species,Spotless Starling,Sturnus unicolor,3,Madrid--Parque El Retiro,ES-MD,23 Jun 2025,L1139116,S253513881,,1
30,21950,species,Coal Tit,Periparus ater,2,Madrid--Parque El Retiro,ES-MD,23 Jun 2025,L1139116,S253513881,,1
31,11680,species,Iberian Green Woodpecker,Picus sharpei,2,Madrid--Parque El Retiro,ES-MD,23 Jun 2025,L1139116,S253513881,,1
32,1880,species,Stock Dove,Columba oenas,1,Madrid--Parque El Retiro,ES-MD,23 Jun 2025,L1139116,S253513881,,1
33,32472,species,Eurasian Linnet,Linaria cannabina,1,Río Tajo--Toledo (área general),ES-CM,22 Jun 2025,L2371073,S253182285,,1
34,32336,species,European Greenfinch,Chloris chloris,1,Río Tajo--Toledo (área general),ES-CM,22 Jun 2025,L2371073,S253182285,,1
35,31534,species,House Sparrow,Passer domesticus,7,Río Tajo--Toledo (área general),ES-CM,22 Jun 2025,L2371073,S253182285,,1
36,22175,species,Great Tit,Parus major,1,Río Tajo--Toledo (área general),ES-CM,22 Jun 2025,L2371073,S253182285,,1
37,7291,species,White Stork,Ciconia ciconia,3,Río Tajo--Toledo (área general),ES-CM,22 Jun 2025,L2371073,S253182285,,1
38,3614,species,Eastern Whip-poor-will,Antrostomus vociferus,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 May 2025,L161180,S237728494,,1
39,5455,species,Sora,Porzana carolina,2,Galien River County Park,US-MI,02 May 2025,L2355891,S232179458,,1
40,7565,species,Least Bittern,Botaurus exilis,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,28 Apr 2025,L161180,S230671477,,1
42,34005,species,MacGillivray's Warbler,Geothlypis tolmiei,2,Yosemite NP--Mariposa Grove,US-CA,21 Jun 2024,L996128,S183195103,,1
43,33851,species,Brewer's Blackbird,Euphagus cyanocephalus,1,Yosemite Valley--Headquarters area,US-CA,20 Jun 2024,L747255,S182791608,,1
